"g1_1","g1_2","g1_3","g1_4","g1_5","g1_6","g1_7","g1_8","g1_9","g1_10","g1_11","g1_12","g1_13","g1_14","g1_15","g1_16","g1_17","g1_18","g1_19","g1_20","g1_21","g2_1","g2_2","g2_3","g2_4","g2_5","g2_6","g2_7","g2_8","g2_9","g2_10","g2_11","g2_12","g2_13","g2_14","g2_15","g2_16","g2_17","g2_18","g2_19","g2_20","g2_21","c_1","c_2","c_3","c_4","c_5","c_6","c_7","c_8","c_9","c_10","c_11","c_12","c_13","c_14","c_15","c_16","c_17","c_18","c_19","c_20","c_21","c_22","c_23","c_24","c_25","c_26","c_27","c_28","target"
1.12,28,31,59,1,36,7,25,5,29,20,49,4.86936862398017,4.90009824266501,17.8765196689125,6.71317283609536,2.19902846181483,0.380172262866934,0.00107486999934666,0.278037300453194,0.375530190463731,19,12,13,25,10,14,23,16,14,-9,2,-7,2.88809914249526,2.91503270575302,2.50113105945301,1.14076823409529,1.76007562298566,0.234537711149458,0.0012005205795111,0.233470089660869,8.5,1.33,4,-4,0,0,1,0,0,2.56829767492886,15,19,34,22,-9,2,-9,27,29,56,1.98126948148491,1.98506553691198,0.438952838829167,-0.760595971228352,0,7.16366534531986,4.21204177664235,0.142060100802862,3.29,"1"
3,7,1,8,19,5,6,5,19,-1,-14,-15,1.79751611182457,2.22063490340363,7.69153245036544,2.65519652962304,0.37805092765696,2.26936192663552,0.0700259851849492,0.00631391090280441,0.345210339650441,2.4,24,5,29,4,13,3,5,11,10,-6,4,3.76796392246174,3.47111442461505,6.01877293056,1.17611194908672,1.10651230208,0.0291911736141752,0.0555762126114831,0.577684732452906,3.25,2.05,0,3,3,0,0,0,0,0.458200668844994,2,-23,-21,-6,1,2,6,5,-24,-19,-1.97044781063717,-1.25047952121142,-0.72846137442304,1.0932499775488,0,-2.727252385792,-3.36357640093696,-0.232474392802465,1.68,"0"
2.3,0,1,1,13,0,1,2,2,-1,0,-1,2.42899159663866,2.48579831932773,5.28,2.16,0.32,0.52,0.00217990883421673,0.00193045413622771,0.409090909090909,3,1,0,1,17,0,0,0,2,0,-2,-2,2.39725,2.46025,1.36,0,0.32,0.00218749111818289,0.0018271461687449,0.435897435897436,3.25,2,5,4,9,1,0,0,0,1.66769844525951,0,0,0,-2,1,2,2,1,0,1,0.0317415966386556,0.0255483193277306,0,0.52,0,2.16,0.8,-0.0268065268065268,1.7,"1"
2,5,3,8,20,6,7,5,14,-1,-9,-10,2.13766522147866,2.34091207891465,9.97688530944,5.13548965888,0.86412945408,1.85866483712,0.0335778421662782,0.00559993661530851,0.514738768623597,3.25,7,3,10,18,4,6,4,12,-2,-8,-10,2.26915117335378,2.39899492048171,4.7800390656,0.5418602496,1.45441763328,0.0340474547345993,0.0127783876495358,0.573034852244913,3.25,1.98,2,2,4,0,0,0,0,1.21436302159198,2,-4,-2,-6,3,-1,10,7,-7,0,-0.131485951875112,-0.0580828415670624,-0.5902881792,1.31680458752,0,1.63526516736,0.35545059328,-0.0582960836213156,1.73,"0"
1.18,19,23,42,2,15,5,24,10,10,14,24,5,4.49268487852165,14.4784743315373,4.76546600852914,2.31354732345636,0.562138274648556,0.0262049866661775,0.137380614116954,0.329141448153064,19,10,5,15,17,7,12,5,15,-5,-10,-15,2.16605729944634,2.15100938350256,2.56110589644584,0.66943836007537,1.27877886041312,0.164474456577155,0.00429630469075234,0.226010092754082,8,1.45,3,-2,1,0,1,0,0,0.307642857677531,14,13,27,0,0,12,3,20,19,39,2.83394270055366,2.3416754950191,1.03476846304323,-0.107300085426815,0,3.14665341488228,2.2043601120833,0.103131355398982,1.69,"0"
2.8,3,0,3,19,3,5,1,6,-2,-5,-7,2.17392582680009,2.29272975276693,6.770944,2.010112,0.6224,1.378176,0.00816031733048672,0.00496669822843782,0.296873227721275,2.5,3,1,4,17,5,5,4,7,0,-3,-3,2.41427138525645,2.48667229563419,2.749888,1.048448,1.482944,0.00818870101437408,0.00546167368764078,0.3575696548051,3.25,1.81,2,1,3,0,0,0,0,2.00942656438721,2,-3,-1,-4,1,-4,1,1,-5,-4,-0.24034555845636,-0.193942542867266,-0.860544,0.329728,0,-0.919552,-0.739776,-0.0606964270838248,2.01,"0"
1.2,34,23,57,2,36,8,27,16,28,11,39,3.95391482323595,3.49763999824774,12.7611264,6.2845568,2.093632,0.8624,0.0138253695689465,0.603505575427041,0.492476651590881,15,19,8,27,13,23,20,12,23,3,-11,-8,3.00908784119921,2.83533225832021,7.17452901770584,1.14949058637613,1.23596470477748,0.587869673122347,0.00187340059422242,0.56431090177969,6.5,1.51,10,-2,8,0,1,0,0,3.02687562189678,26,4,30,13,-4,7,-7,39,8,47,0.944826982036736,0.662307739927534,0.857667295222515,-0.287090586376133,0,0.0473386722080331,-0.889972217705841,-0.0718342501888085,2.44,"1"
1.83,9,2,11,10,7,3,4,5,4,-1,3,3.02086481127894,2.77231645564843,8.138944,3.6179328,1.5410688,1.1147776,0.0107672086465471,0.00740944308291469,0.444521156552988,4.33,4,6,10,11,4,4,5,3,0,2,2,2.9488328038721,2.79011901502188,4.6578176,0.998656,0.8667776,0.0107672086465471,0.00869506200579546,0.502787568618402,3.6,2.05,4,2,6,0,0,0,0,2.15809628776961,3,-2,1,4,-2,0,1,2,-1,1,0.0720320074068344,-0.0178025593734468,0.6742912,0.1161216,0,-1.1250432,-1.0398848,-0.0582664120654147,1.69,"1"
2.1,21,2,23,14,15,13,9,32,2,-23,-21,2.13455625058213,2.08891933683148,9.40736379275015,5.09390068305127,0.897175662611807,1.60797097005424,0.48003853891888,0.00150343919297757,0.541480142075182,3.6,17,6,23,18,15,14,9,26,1,-17,-16,2.44311641368819,2.25271348030789,3.85123779430367,0.920792709490182,1.09538406003374,0.485065074789188,0.000163287190921808,0.404833951116038,3.3,2.13,0,1,1,0,0,0,0,1.8626927646837,15,-15,0,-11,4,-5,17,19,-24,-5,-0.308560163106061,-0.163794143476412,-0.198208397421935,0.687178260564056,0,-0.105765685858698,1.2426628887476,0.136646190959144,1.64,"1"
2.1,15,10,25,9,8,6,10,13,2,-3,-1,3.2996175372671,3.05053961264433,7.73655507436516,4.69495406715575,1.21872788750336,1.24654866001245,0.124151833340058,0.00923273461223162,0.606853311587264,3.6,13,7,20,14,15,17,8,11,-2,-3,-5,2.79612678424767,2.8621794797307,6.28149913969833,1.18988739819602,1.86133195068801,0.155586169592454,0.00245408818041392,0.582595655423774,3.1,2.05,2,-1,1,0,0,1,0,0,8,-3,5,-3,-2,-7,-2,5,-1,4,0.503490753019424,0.188360132913632,-0.64260406318465,0.0566612618164306,0,-3.04536387957765,-1.58654507254258,0.0242576561634891,1.68,"0"
1.36,0,1,1,13,0,0,3,3,0,0,0,2.5,2.5,2.8,1,0.6,0.6,0.00153381067932446,0.0014663191470429,0.357142857142857,9.5,0,0,0,7,0,3,0,0,-3,0,-3,2.33,2.466,0.8,0,0.6,0.00153381067932446,0.0014663191470429,0.285714285714286,5.25,1.57,1,-2,-1,0,1,0,0,3.52110613503484,0,1,1,0,0,0,3,0,3,3,0.17,0.0340000000000003,0,0.6,0,0,0.2,0.0714285714285715,2.4,"1"
1.14,34,31,65,1,42,9,28,9,33,19,52,5,4.93925030024448,17.2887780704832,6.77314449208082,2.58990257244919,1.16264819858787,0.00125351264137354,0.429557358210739,0.391765367365348,21,13,7,20,19,12,15,7,16,-3,-9,-12,2.41090604189986,2.28893702900726,3.82090609834353,0.967530075540569,1.08355008692271,0.423632523717147,4.14924116190583e-05,0.293558842722197,10,1.44,8,-5,3,0,1,0,0,1.00210561623664,27,18,45,26,2,13,-3,42,22,64,2.58909395810014,2.65031327123723,1.50635248552648,0.195118123047301,0,4.27296814661266,2.95223839373729,0.0982065246431506,2.75,"1"
1.28,11,15,26,4,9,6,19,14,3,5,8,3.83459617090674,3.50874880076908,16.0934006533325,5.68682856415232,1.5836226158592,1.09449852698624,0.0394861399672414,0.038774207831722,0.353364008431291,10,11,4,15,16,10,7,11,15,3,-4,-1,2.88726059062672,2.72965533563531,4.95654734905344,1.55370969399296,1.49102215200768,0.071005353739637,0.0024175515673645,0.403396282424353,5.75,1.4,9,0,9,0,0,0,0,1.98092767897291,7,4,11,-6,-5,12,4,7,2,9,0.947335580280024,0.779093465133772,0.0926004638515199,-0.45921116700672,0,3.80635794866176,0.730281215098881,-0.0500322739930625,3,"1"
2.62,18,17,35,17,25,23,23,28,2,-5,-3,3.03802060964362,3.1004545673087,12.6598238050376,7.02916838546775,1.27917177421486,1.57445655253046,0.980198673306755,1.56506203936039e-05,0.555234298179623,2.5,37,16,53,5,32,13,15,22,19,-7,12,4.76183120695587,4.45788769695345,6.97113387911974,1.05083876101413,0.83181891507005,0.318223917790419,0.0108890236685544,0.62471471543955,3.4,1.85,13,-3,10,1,0,1,1,1.60080078089498,2,-20,-18,3,8,10,-4,9,-24,-15,-1.72381059731225,-1.35743312964475,0.447352859144814,0.523617791516328,-2,1.50091605589834,0.0580345063480152,-0.0694804172599267,1.85,"1"
1.91,17,19,36,6,18,14,18,14,4,4,8,3.95362722068454,3.67673573579112,12.0678061733008,4.57046848236326,1.55395906321999,1.21540682908129,0.208710833761157,0.182683524052735,0.378732340968081,4.75,7,6,13,20,8,14,10,24,-6,-14,-20,2.02652885172366,1.88486826226361,3.96669102582456,0.648356283355324,1.16514797906383,0.265212941664229,0.000820989695292895,0.34760599103368,3.5,2.16,2,4,6,1,0,0,0,2.15809628776961,11,12,23,-6,4,4,6,18,10,28,1.92709836896088,1.79186747352751,0.388811084156159,0.56705054572597,0,0.656348580096564,0.603777456538701,0.0311263499344011,1.68,"1"
2,3,1,4,16,2,4,2,5,-2,-3,-5,2.30909514971879,2.4674248082836,9.1088,3.05504,0.6048,1.46432,0.00589359630887944,0.00398586869212829,0.335394343931144,3.4,7,2,9,9,3,0,2,2,3,0,3,2.91453247162558,2.61840361433783,5.36,0.72384,0.16384,0.00565307544393449,0.00467746024055846,0.581940728902477,3.25,1.85,6,0,6,0,0,1,0,1.49762078887948,1,-6,-5,0,2,2,2,-2,-6,-8,-0.605437321906789,-0.150978806054229,0.44096,0.74048,0,-0.101759999999999,-2.30496,-0.246546384971334,1.85,"2"
1.8,3,6,9,8,4,3,4,2,1,2,3,3.02678134920635,2.66908826984127,9.1776,3.1904,1.1808,0.6352,0.00418499403654957,0.00412784417425544,0.347629009762901,4.5,6,0,6,14,7,3,0,5,4,-5,-1,2.64775442271896,2.54254477110615,3.392,1.0096,1.0752,0.00425828454448935,0.00360656313601573,0.362827314735581,4,1.62,7,1,8,0,1,1,0,0.110381062184596,3,0,3,-1,3,1,-5,6,-2,4,0.379026926487385,0.126543498735122,0.1056,-0.3744,1,-0.171199999999999,-0.2016,-0.0151983049726801,2.3,"0"
2.5,11,7,18,5,9,4,7,8,5,-1,4,3.29456293316755,2.99254423295864,11.4892261376,5.9717943296,1.3290010624,0.9892074496,0.0220346538725161,0.0158434359513211,0.519773417119585,2.75,10,6,16,9,12,7,9,10,5,-1,4,3.11200028445164,2.80167105719647,6.8580383744,2.1260787712,1.5811628032,0.0239495545238363,0.0127146551752497,0.524966889468721,3.2,1.85,5,4,9,0,0,1,0,1.66769844525951,5,-3,2,-1,-5,0,-4,6,-6,0,0.182562648715915,0.190873175762176,-0.2521617408,-1.1368713216,0,-1.574528,-0.886244044799999,-0.00519347234913592,1.85,"1"
1.33,34,33,67,3,31,13,33,22,18,11,29,4.94,4.89127759402931,15.7129231545663,4.78767759076692,1.54385867608088,0.965562221572687,0.0172681953436284,0.189190657981982,0.304696811896238,11,22,12,34,17,17,23,15,30,-6,-15,-21,2.45226744228248,2.64540457404918,1.85402575090148,0.383495102740188,1.80325412811759,0.9559974818331,7.5996002783739e-07,0.194714914222165,5.5,1.72,2,-1,1,0,1,0,0,0.741716179644211,22,11,33,1,-2,10,5,33,17,50,2.48773255771752,2.24587301998014,-0.259395452036707,0.582067118832498,0,6.19117820602021,2.93365183986544,0.109981897674073,2.1,"1"
3.4,14,12,26,13,17,16,14,18,1,-4,-3,3.02865288350065,2.90495125486133,12.8847564758571,3.48546002909603,0.79825186109771,1.03344007183671,0.363763990274613,0.00416932969790411,0.27051035350392,2.3,20,18,38,8,17,11,16,16,6,0,6,4.09434752313274,3.49046902669627,5.8411683747785,1.735992621949,0.679180333736492,0.171829942097335,0.0742735782143339,0.334594200975315,3.4,1.89,-5,9,4,1,0,1,1,0.00980049085505718,-4,-8,-12,1,0,3,1,1,-10,-9,-1.06569463963209,-0.585517771834944,0.119071527361218,-0.702552550112286,-2,-4.57271396969145,-2.35570834568247,-0.0640838474713953,1.9,"0"
2.5,0,0,0,10,0,0,0,0,0,0,0,2.5,2.5,0,0,0,0,0,0,0,2.75,0,0,0,10,0,0,0,0,0,0,0,2.5,2.5,0,0,0,0,0,0,3.4,1.88,3,3,6,1,0,1,0,3.71382651685361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92,"1"
6.5,4,3,7,16,5,2,3,4,3,-1,2,2.78424991004877,2.58308782781069,8.697472,4.67776,1.059456,0.691776,0.00818870101437408,0.00398586869212829,0.537829842970463,1.57,7,9,16,1,10,5,11,2,5,9,14,3.77903800936141,3.23852540101296,6.980224,2.370944,0.839296,0.00496669822843782,0.00818870101437408,0.667940497406407,3.5,1.75,1,5,6,0,0,0,1,2.84469172141412,-5,-4,-9,3,-9,-2,-6,-6,-6,-12,-0.994788099312643,-0.655437573202274,0.22016,-1.679168,0,-1.752896,-2.302464,-0.130110654435944,1.95,"2"
2.1,23,14,37,8,22,14,12,17,8,-5,3,3.64496569818667,3.43307812673747,10.6360379094639,3.3628709658577,1.4296191104338,1.22994776713092,0.222851421696071,0.0345620161180041,0.316177038337316,4,18,8,26,14,21,21,14,28,0,-14,-14,2.65804233478985,2.90076747500342,4.27843642279738,1.36759118010254,2.7049446360179,0.446281412791547,0.00150343919297757,0.390183046747771,3.4,2.01,1,2,3,0,0,0,0,1.77832808969014,15,-4,11,-6,0,-9,-4,22,-5,17,0.986923363396827,0.532310651734048,-1.2753255255841,-0.137643412971626,0,-0.32916536745639,-0.915565456939687,-0.0740060084104552,1.81,"1"
1.9,16,2,18,12,12,12,10,22,0,-12,-12,2.48635240080481,2.35679775737602,9.45079238844481,5.10523972866802,1.46349080398397,1.68739913775841,0.128021692654853,0.0183156388887342,0.540191712909706,4.33,12,2,14,18,8,8,8,24,0,-16,-16,1.99591160933626,2.09964945550068,6.06466605097812,0.797656909297746,1.85319000514888,0.135335283236613,0.00759701402757757,0.512427600774294,3.3,1.92,2,2,4,0,0,0,0,3.51563282806496,14,-10,4,-12,4,2,14,16,-12,4,0.490440791468549,0.257148301875348,-0.389699201164902,0.889742228460667,0,-2.38437426107646,-0.959426322310104,0.0277641121354125,1.81,"1"
2.25,14,10,24,19,12,23,17,31,-11,-14,-25,2.15016671267847,2.18468512231023,11.3476036024816,6.22357147154459,1.11607064137291,1.79070987756118,0.778692623807212,7.33821519019035e-07,0.54844808556615,3.5,25,9,34,16,19,20,9,21,-1,-12,-13,1.89830926974843,2.11067190738802,3.6683232280576,0.4421996937216,1.5933650354176,0.923116346386636,8.91669591602352e-05,0.397352103764178,3.4,2.17,0,1,1,0,0,0,0,2.44222830446132,5,-15,-10,-9,14,-3,12,1,-13,-12,0.251857442930036,0.0740132149222124,-0.477294394044687,1.34851018383958,0,2.11568261022561,2.55524824348699,0.151095981801972,1.67,"2"
4.5,8,3,11,10,9,8,5,5,1,0,1,2.79170194906278,2.7954403410664,12.385206784,7.123124736,0.97445888,1.3024896,0.0175097046557943,0.0108347144364362,0.575131676057448,1.8,12,10,22,1,13,6,8,3,7,5,12,3.96007018957032,3.47018619475686,7.699713536,2.178458624,1.23428608,0.00815691790652819,0.0198410947443703,0.636456371101158,3.6,1.68,-2,6,4,0,0,1,1,3.74742904885603,-2,-9,-11,6,0,-1,-8,-4,-7,-11,-1.16836824050754,-0.674745853690464,-0.2598272,-0.875969024,0,0.287419904000002,-0.576588800000001,-0.0613246950437097,2.16,"0"
4.75,17,6,23,14,12,4,8,19,8,-11,-3,2.61283961303036,2.52256792260607,2.8,1.6,0.2,0.2,0.232494458443849,0.00802655387039516,0.571428571428571,1.8,23,13,36,4,16,6,20,22,10,-2,8,4.10301770991255,3.83177177677234,9.56809462540566,1.41716603883304,0.976538032620542,0.0673082663009749,0.157237166313628,0.611955636208642,3.5,1.93,-1,0,-1,0,0,0,1,3.8274824502695,4,-17,-13,-10,-16,2,3,10,-21,-11,-1.49017809688219,-1.30920385416626,-0.776538032620542,-1.21716603883304,0,-12.8352749435966,-7.96809462540566,-0.0405270647800705,1.85,"1"
1.91,14,22,36,14,15,19,21,24,-4,-3,-7,3.41097250352756,3.39227857423274,12.6778393160396,6.68231336211211,1.11307226620057,1.55475485210487,0.590242256439626,0.000889367519605198,0.527086137908203,4,16,12,28,17,22,29,21,35,-7,-14,-21,2.40803916886112,2.34055347464417,6.46292121175046,1.12675525100422,1.67876846738015,0.835270211411272,3.34653494236657e-05,0.567958537816617,3.6,1.76,0,1,1,0,0,0,0,1.32776528287947,2,6,8,-20,-2,-8,2,10,4,14,1.00293333466644,1.05172509958857,-0.565696201179578,0.427999601100651,0,1.29862625482633,0.219392150361651,-0.0408723999084137,2.04,"1"
2.25,19,18,37,7,16,15,12,14,1,-2,-1,2.43552084685439,2.42704037392675,8.672,4.432,0.6,0.944,0.227637688383813,0.00980365503582183,0.511070110701107,3.2,13,16,29,12,9,15,7,16,-6,-9,-15,3.14883672763199,2.7095673455264,1.72,0.488,0,0.355029087744284,0.000820989695292895,0.391621129326047,3.1,2.14,-2,4,2,0,0,1,1,0.330927581686688,3,5,8,0,8,-3,5,10,4,14,-0.713315880777607,-0.282526971599649,0.6,0.456,0,4.28,2.712,0.11944898137506,1.63,"0"
3.75,11,5,16,15,9,6,8,12,3,-4,-1,2.84277235232898,2.95714741902592,6.55040841842688,3.35042055847936,0.69918820204544,1.34755452911616,0.0700259851849492,0.0167392335585806,0.511482696110113,1.833,18,13,31,2,14,5,10,5,9,5,14,4.28417894046056,3.93911849828656,8.11588283662336,1.13331508084736,0.460505366528,0.0260308677961872,0.069599353533269,0.541473757494178,3.25,1.95,-3,8,5,1,0,1,1,3.36574374316911,-2,-13,-15,4,-4,3,-2,-2,-13,-15,-1.44140658813158,-0.981971079260647,0.23868283551744,0.2142394482688,-2,-8.43809790214144,-4.765462278144,-0.0299910613840652,1.7,"1"
1.73,1,3,4,11,1,1,2,1,0,1,1,2.68375,2.53675,4.52,2.36,0.56,0.36,0.00217990883421673,0.00193045413622771,0.52212389380531,5.25,0,1,1,14,1,4,1,1,-3,0,-3,2.33130841121495,2.46626168224299,0.76,0.36,0.96,0.00217990883421673,0.00193045413622771,0.215909090909091,3.6,1.96,3,-1,2,0,0,0,0,0.910174457466812,0,3,3,0,0,-2,0,0,4,4,0.352441588785047,0.0704883177570093,-0.4,0,0,1,1.6,0.306214802896219,1.82,"1"
1.36,19,17,36,4,18,8,16,9,10,7,17,4.44202684732364,4.14904186101706,15.9761463083303,5.57142999154435,1.39559839478126,0.813013139075872,0.101929669092905,0.217621056865233,0.348734286981291,9.5,11,7,18,19,12,11,14,30,1,-16,-15,2.27171342068732,2.10114880988745,4.06602454104748,1.7707728938041,1.83418098209713,0.263012017072974,0.00551656442076077,0.38656872113124,5.25,1.66,9,-1,8,1,0,0,0,3.56536381890797,12,6,18,-12,-6,5,-3,26,6,32,2.17031342663632,2.0478930511296,-0.438582587315871,-0.957759754728229,0,5.45790124921426,1.50540545049687,-0.0378344341499495,2.2,"1"
1.85,33,20,53,3,42,8,26,18,34,8,42,5,4.88180266068378,19.6527752905234,7.11468397624969,3.32053797316555,1.17491440034972,0.0202391002644401,0.367879441171442,0.362019301145747,4.5,32,18,50,3,25,9,18,11,16,7,23,4.8602507918136,4.70493531313031,6.24974600495668,1.75537540330222,0.566702877300366,0.016490018838362,0.358796465405952,0.328418275340847,3.8,1.72,0,8,8,0,1,0,1,2.83585931217418,15,-12,3,31,-10,17,-7,27,-8,19,0.139749208186396,0.176867347553473,2.75383509586518,-0.580461002952503,0,0.622939029217857,0.864937971293017,0.0336010258049004,2.09,"2"
8,17,14,31,11,17,18,13,19,-1,-6,-7,3.11825184732016,3.12052649293115,10.172200022638,3.21652361865763,0.885375099820379,1.70180169636778,0.303545967420729,0.00640933344625638,0.316207271927343,1.33,32,29,61,1,32,7,23,7,25,16,41,4.92480094541421,4.90296623313716,6.03608733213278,2.37650473452731,1.06498954129807,0.0037035175482938,0.429557358210739,0.433643719946477,5.25,1.57,-5,9,4,0,0,0,1,3.55068420724922,-12,-18,-30,10,-5,6,-13,-17,-31,-48,-1.80654909809405,-1.78243974020601,-0.17961444147769,-0.67470303815953,0,-3.74726209450684,-2.81956371347514,-0.117436448019134,2.37,"0"
1.4,10,6,16,13,5,4,4,4,1,0,1,3.05661891609525,2.73578135793104,12.1422698496,5.5209920512,1.068946432,0.714752,0.0239495545238363,0.00516939302832033,0.454691924951897,9,3,4,7,17,3,6,4,6,-3,-2,-5,2.32053687043486,2.37175255275946,5.1004127232,0.635382272,1.0119165952,0.0261214098539182,0.00353514840111967,0.504771572114282,4,2.02,5,0,5,0,1,0,0,3.24632083975398,6,3,9,-1,0,-2,1,3,3,6,0.736082045660386,0.364028805171578,0.0570298367999997,0.079369728,0,2.037872128,0.420579328000001,-0.0500796471623852,1.72,"1"
2.15,9,8,17,5,10,6,9,7,4,2,6,3.2255976399353,2.97830079784336,16.42370097152,5.65446688768,1.57769967616,1.02677843968,0.0272630704801107,0.0165726754017613,0.344287009212192,3.5,13,3,16,10,11,5,6,9,6,-3,3,3.14118954483475,2.89234757543896,4.3517330432,1.20108894208,0.97219321856,0.0322075121983687,0.00946646240171032,0.291717439311867,3.6,1.71,1,10,11,0,1,0,0,2.89917186389838,6,-5,1,1,0,4,-4,7,-4,3,0.0844080951005535,0.0859532224044077,0.6055064576,-0.1743105024,0,1.5060702208,1.30273384448,0.0525695699003255,2.13,"2"
1.2,24,16,40,1,22,4,12,3,18,9,27,5,4.62347194036658,15.1967839690752,7.63397799441203,2.00000431721677,0.459702272,0.0101514483520717,0.0889216174593863,0.50234168031518,17,13,12,25,7,9,8,7,6,1,1,2,3.52207309227219,3.475268143015,4.07488632930304,0.8725075197952,1.33520034696397,0.053933687300356,0.0288686225096851,0.471855932931186,5.5,1.77,7,-5,2,0,1,0,0,3.21466796755201,12,3,15,16,-3,4,-6,17,8,25,1.47792690772781,1.14820379735158,0.6648039702528,-0.4128052477952,0,6.56091432134246,3.55909166510899,0.0304857473839947,1.95,"1"
1.3,29,24,53,5,24,10,26,16,14,10,24,4.80285970167141,4.80859935810877,13.8409358563128,5.44452542245113,1.35610647061857,1.31058717629238,0.082898452101672,0.0645703468931685,0.393363966062159,12,17,10,27,18,18,23,9,23,-5,-14,-19,2.50153058027419,2.57450527564062,3.85641775279751,1.12007059314286,1.81466037768849,0.723632058533721,1.63314982478537e-06,0.324222433446439,5.75,1.7,3,-3,0,0,1,0,0,0.134485737463123,19,7,26,1,1,3,-2,28,15,43,2.30132912139721,2.23409408246815,-0.458553907069915,0.190516583149519,0,1.94657767818076,1.58810766965362,0.0691415326157198,2.18,"1"
2.3,1,6,7,15,0,4,4,2,-4,2,-2,2.64874086840699,2.46364554815074,9.54656,5.23264,0.7024,0.58368,0.00595530879829417,0.0043394832707389,0.548117856065431,3.2,5,2,7,8,4,2,2,2,2,0,2,2.72833353233769,2.63361586787105,2.21632,0.8272,0.6224,0.00565307544393449,0.00499159390691022,0.339144060327098,3.25,2.21,1,1,2,0,0,0,0,1.93151656736358,-1,1,0,-2,2,2,-2,-4,0,-4,-0.0795926639307032,-0.169970319720302,0.0800000000000001,-0.24352,0,3.01152,3.01632,0.208973795738333,1.64,"0"
1.4,28,14,42,10,25,17,15,26,8,-11,-3,3.88712628819848,3.53542272505388,11.3987655338289,6.54041410276974,2.25748663428227,1.91775554522842,0.548126050129406,0.00313539536378102,0.573782668251163,7,13,7,20,20,13,20,5,23,-7,-18,-25,1.68998460367667,1.78554554188053,5.42986421535735,0.790394290463543,1.74451327074787,0.477047654301014,5.77244451910553e-07,0.539677950633764,4,1.85,5,-1,4,1,0,0,0,0.338859064240578,21,1,22,2,12,-5,13,26,-4,22,2.19714168452181,1.74987718317335,0.512973363534397,1.12736125476488,0,1.33746099288768,1.11054988741239,0.0341047176173985,1.88,"1"
2.6,10,9,19,15,8,7,7,11,1,-4,-3,2.8947249942405,2.74657087262631,9.56995588479386,4.97448632585421,0.8491775434752,0.988106051813376,0.0876951319708269,0.0247235264703394,0.519802430203299,2.4,16,7,23,10,11,7,8,14,4,-6,-2,3.20397612510178,3.08460677286209,4.99746376548352,0.983556845797376,1.33007200786842,0.0784730519807207,0.0432827979019659,0.530237741583117,3.2,1.92,1,5,6,0,0,0,0,2.00237772851078,3,-7,-4,-6,-1,0,0,7,-8,-1,-0.309251130861286,-0.338035900235777,-0.480894464393216,0.00454920601599995,0,0.145006709047296,-0.0229774396293125,-0.0104353113798186,1.76,"0"
1.5,6,6,12,8,5,3,7,6,2,1,3,3.08212209856472,2.67679708923207,9.455424,4.440128,1.57504,0.895232,0.00750785438151718,0.00546167368764078,0.469585287767106,7,9,4,13,4,7,4,4,2,3,2,5,3.22248131730627,2.99128963126166,3.7152,1.197632,0.83232,0.00578653146969918,0.00782837754922578,0.429519574401965,4.75,1.47,3,-3,0,1,0,0,0,0.307846767923589,2,-3,-1,3,-1,3,-1,0,-2,-2,-0.140359218741549,-0.314492542029589,0.74272,-0.3024,0,0.805759999999998,0.724928,0.0400657133651409,2.6,"1"
1.9,13,7,20,15,13,15,7,15,-2,-8,-10,2.53481038816586,2.59401697499846,10.7861928076671,3.81590864169633,0.900032068927693,1.77406175425948,0.277073567276087,0.000138450181140803,0.353777158422745,4,13,6,19,17,14,18,4,14,-4,-10,-14,2.51800385562321,2.2367789923191,3.59981055735056,1.22725792612352,1.08631454520516,0.278037300453194,9.32711234649487e-05,0.272516202418609,3.39,2.02,3,-2,1,0,0,0,0,1.39536020726728,7,-6,1,-1,11,-11,1,8,-4,4,0.0168065325426494,0.357237982679368,-0.186282476277466,0.546803828135958,0,-2.42333574660549,0.216098084345774,0.081260956004136,1.8,"2"
1.44,33,19,52,6,28,17,21,20,11,1,12,4.51767375271748,4.17046351765533,12.6854375302063,7.35178748140548,1.6159335303097,1.12727070621639,0.20827647214128,0.0284388247141845,0.579545440502115,8,13,10,23,19,11,22,17,29,-11,-12,-23,2.25305129732002,2.1763348169939,7.66183042428841,1.49386037714518,1.92298418368934,0.704590223169365,3.88878065019292e-07,0.558010089367233,4.75,1.72,1,-1,0,0,0,0,0,3.34656483295528,23,6,29,-1,0,-1,9,23,12,35,2.26462245539746,1.99412870066143,-0.307050653379646,-0.366589670928787,0,-1.04519309867121,-0.31004294288293,0.0215353511348821,2.1,"1"
2.87,26,7,33,18,19,18,13,38,1,-25,-24,2.43906304113051,2.4187779739976,8.05464903291304,3.26696935763461,0.956091580002911,1.52623098658767,0.981288388228831,6.08307641893217e-06,0.405600460589291,2.37,35,21,56,9,31,20,23,32,11,-9,2,4.68582864090554,4.21338668557605,5.81509305164518,2.13945166100583,1.41973128771869,0.455549908353494,0.00217658096071513,0.557377533718911,3.25,1.85,-3,0,-3,0,0,1,0,0.155323006731132,5,-28,-23,-13,-5,-7,7,10,-36,-26,-2.24676559977503,-1.79460871157845,-0.463639707715776,-0.613220674418165,0,-2.378302960767,-2.54812369401056,-0.151777073129621,1.87,"2"
